Name,Gender,Year,Season,Type,Brand,Agencies,Photographers
Emma Warg,F,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Emma Warg,F,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Emma Warg,F,1993,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Emma Warg,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Emma Warg,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Emma Warg,F,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Anneliese Seubert,F,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Anneliese Seubert,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Debbie Deitering,F,1994,spring,ready-to-wear,prada,MARILYN,Condé Nast Archive
Debbie Deitering,F,1994,spring,ready-to-wear,anna-sui,MARILYN,"Courtesy Of Anna Sui,Condé Nast Archive"
Debbie Deitering,F,1994,spring,ready-to-wear,comme-des-garcons,MARILYN,Condé Nast Archive
Debbie Deitering,F,1994,spring,ready-to-wear,calvin-klein-collection,MARILYN,
Debbie Deitering,F,1994,spring,ready-to-wear,chanel,MARILYN,
Debbie Deitering,F,1994,fall,ready-to-wear,comme-des-garcons,MARILYN,Condé Nast Archive
Debbie Deitering,F,1993,fall,ready-to-wear,comme-des-garcons,MARILYN,Condé Nast Archive
Debbie Deitering,F,1994,fall,ready-to-wear,john-galliano,MARILYN,Guy Marineau
Jean Paul Gaultier,,1994,spring,ready-to-wear,jean-paul-gaultier,,Condé Nast Archive
Chandra North,F,1993,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Chandra North,F,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Bénédicte Loyen,F,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Bénédicte Loyen,F,1993,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Bénédicte Loyen,F,1993,spring,ready-to-wear,anna-sui,,Condé  Nast Archive
Bénédicte Loyen,F,1993,spring,ready-to-wear,perry-ellis,,Condé  Nast Archive
Patricia Hartmann,F,1994,spring,ready-to-wear,calvin-klein-collection,,Condé Nast Archive
Patricia Hartmann,F,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Patricia Hartmann,F,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Patricia Hartmann,F,1994,spring,ready-to-wear,anna-sui,,Condé Nast Archive
Nadège du Bospertus,F,1993,spring,ready-to-wear,anna-sui,,Condé  Nast Archive
Nadège du Bospertus,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Nadège du Bospertus,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Nadège du Bospertus,F,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Nadège du Bospertus,F,1992,fall,ready-to-wear,versace,,Condé Nast Archive
Stephanie Seymour,,1992,fall,ready-to-wear,versace,,Condé Nast Archive
John Galliano,,1993,spring,ready-to-wear,john-galliano,,Condé Nast Archive
John Galliano,,1994,fall,ready-to-wear,john-galliano,,Guy Marineau
Donovan Leitch,,1994,spring,ready-to-wear,anna-sui,,Courtesy Of Anna Sui
Marie Sophie Wilson-Carr,F,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Marie Sophie Wilson-Carr,F,1993,spring,ready-to-wear,john-galliano,,Condé Nast Archive
Marie Sophie Wilson-Carr,F,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Marie Sophie Wilson-Carr,F,1993,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Marie Sophie Wilson-Carr,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Marie Sophie Wilson-Carr,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Marie Sophie Wilson-Carr,F,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Jenny Shimizu,,1994,spring,ready-to-wear,prada,,Condé Nast Archive
Jenny Shimizu,,1994,spring,ready-to-wear,calvin-klein-collection,,
Jenny Shimizu,,1994,spring,ready-to-wear,anna-sui,,"Courtesy Of Anna Sui,Condé Nast Archive"
Jenny Shimizu,,1994,spring,ready-to-wear,jean-paul-gaultier,,Condé Nast Archive
Ludmila Isaeva Malahova,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Ludmila Isaeva Malahova,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Ludmila Isaeva Malahova,F,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Jeff Stryker,M,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Anna Pawlowski,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Anna Pawlowski,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Niki Taylor,F,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Niki Taylor,F,1994,spring,ready-to-wear,chanel,,
Niki Taylor,F,1992,fall,ready-to-wear,versace,,Condé Nast Archive
Nadja Auermann,F,1994,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,"DNA,MARILYN",Condé Nast Archive
Nadja Auermann,F,1994,spring,ready-to-wear,prada,"DNA,MARILYN",Condé Nast Archive
Nadja Auermann,F,1994,spring,ready-to-wear,comme-des-garcons,"DNA,MARILYN",Condé Nast Archive
Nadja Auermann,F,1994,spring,ready-to-wear,chanel,"DNA,MARILYN",
Nadja Auermann,F,1993,spring,ready-to-wear,prada,"DNA,MARILYN","Condé Nast Archive,Courtesy Of Prada"
Nadja Auermann,F,1993,spring,ready-to-wear,anna-sui,"DNA,MARILYN",Condé  Nast Archive
Nadja Auermann,F,1993,spring,ready-to-wear,perry-ellis,"DNA,MARILYN",Condé  Nast Archive
Nadja Auermann,F,1994,fall,ready-to-wear,comme-des-garcons,"DNA,MARILYN",Condé Nast Archive
Nadja Auermann,F,1993,fall,ready-to-wear,comme-des-garcons,"DNA,MARILYN",Condé Nast Archive
Nadja Auermann,F,1992,spring,ready-to-wear,comme-des-garcons,"DNA,MARILYN",Condé Nast Archive
Nadja Auermann,F,1994,fall,ready-to-wear,helmut-lang,"DNA,MARILYN",Condé Nast Archive
Nadja Auermann,F,1992,fall,ready-to-wear,comme-des-garcons,"DNA,MARILYN",Condé Nast Archive
